id,slug,name,flavor,profile,reward_range,scene,image_prompt,image_filename,image_done
26,charity_phone_bank,The Charity Phone Bank,"A telethon's donation processing room sits one floor below the cameras, stuffed with cash gifts and pre-filled card receipts. The volunteers are trusting and the supervisor is on air. Walk in as staff, walk out with the night's haul.",Electronic Medium | Physical None | Confrontation None | Social Medium,$600K – $1.4M,"A telethon processing room one floor below the studio, folding tables of phones and cash trays in fine hatching. A donation lockbox sits open under a hard light; a stack of volunteer badges waits by the door. Earnest clutter — generosity ripe for the taking.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A telethon processing room one floor below the studio, folding tables of phones and cash trays in fine hatching. A donation lockbox sits open under a hard light; a stack of volunteer badges waits by the door. Earnest clutter — generosity ripe for the taking.",loc26_charity_phone_bank,FALSE
27,repo_lot,The Repo Lot,"An impound yard holds a seized exotic-car collection pending a court fight, keys in a lockbox in the shack. The lone yard dog is friendlier than the fence is tall. Hot-load two onto a flatbed and roll.",Electronic Low | Physical Medium | Confrontation Low | Social None,$750K – $1.6M,"A fenced impound yard at night, rows of seized exotic cars under sodium lamps in heavy cross-hatch. A flatbed waits at the gate; a shack with a lockbox glows dimly. Chain-link and oil-stained asphalt — keys, glass, and a clean drive out.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A fenced impound yard at night, rows of seized exotic cars under sodium lamps in heavy cross-hatch. A flatbed waits at the gate; a shack with a lockbox glows dimly. Chain-link and oil-stained asphalt — keys, glass, and a clean drive out.",loc27_repo_lot,FALSE
28,dealership_showroom,The Dealership Showroom,"A luxury dealership parks its limited-run halo car on a turntable behind big glass, key fob in the manager's desk. The alarm is loud but slow, and the block empties after midnight. Glass, gas, gone before the patrol loops back.",Electronic Medium | Physical Medium | Confrontation None | Social None,$650K – $1.6M,"A luxury car showroom behind tall plate glass at night, a single halo car spotlit on a turntable in crisp hatching. Polished floor reflects the hard light; an alarm panel glows by the door. Pristine and exposed — break the glass, take the dream.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A luxury car showroom behind tall plate glass at night, a single halo car spotlit on a turntable in crisp hatching. Polished floor reflects the hard light; an alarm panel glows by the door. Pristine and exposed — break the glass, take the dream.",loc28_dealership_showroom,FALSE
29,numismatists_shop,The Numismatist's Shop,"A rare-coin dealer keeps a legendary error-mint penny in a desk safe and talks about it to anyone who'll listen. The shop is small, the cameras are decorative, and the dealer trusts a fellow collector. Talk your way to the back and pocket a fortune in copper.",Electronic Low | Physical Low | Confrontation None | Social Medium,$650K – $1.4M,"A small rare-coin dealer's shop, glass counters of slabbed coins in fine cross-hatch. A desk safe sits ajar in the back, a single legendary coin spotlit on velvet. A magnifier and ledger on the counter. Cramped, scholarly, and trusting to a fault.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A small rare-coin dealer's shop, glass counters of slabbed coins in fine cross-hatch. A desk safe sits ajar in the back, a single legendary coin spotlit on velvet. A magnifier and ledger on the counter. Cramped, scholarly, and trusting to a fault.",loc29_numismatists_shop,FALSE
30,opera_house,The Opera House,"Opening night at the grand opera, and a patron's diamond rivière glitters in the royal box. The lock is trivial; the room is not. Five hundred eyes, a private security detail, and a dress code you'd better honor. Get invited, play your part, and lift it between acts.",Electronic Low | Physical Medium | Confrontation Low | Social Hard,$1.4M – $3.4M,"A gilded opera house interior, tiers of empty boxes and a vast chandelier in ornate cross-hatch. In the royal box a draped seat holds a glittering diamond necklace, lit hard and bright. Curtains and crowd-silhouettes frame the stage. Grand, watched, and breathless.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A gilded opera house interior, tiers of empty boxes and a vast chandelier in ornate cross-hatch. In the royal box a draped seat holds a glittering diamond necklace, lit hard and bright. Curtains and crowd-silhouettes frame the stage. Grand, watched, and breathless.",loc30_opera_house,FALSE
31,subway_vault_transfer,Subway Vault Transfer,"The transit authority moves a day's fare cash through a maintenance tunnel on a schedule that never changes. The escort is two transit cops who've never been hit. Drop into the tunnel, take the cart, and be on the platform before the next train.",Electronic Medium | Physical Low | Confrontation Hard | Social None,$1.2M – $3.3M,"A grimy subway maintenance tunnel, tiled walls and conduit in harsh parallel hatching. A wheeled cash cart sits under a caged work light, the focal point; rails vanish into black. A distant platform glow. Cramped, timed, and one train from disaster.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A grimy subway maintenance tunnel, tiled walls and conduit in harsh parallel hatching. A wheeled cash cart sits under a caged work light, the focal point; rails vanish into black. A distant platform glow. Cramped, timed, and one train from disaster.",loc31_subway_vault_transfer,FALSE
32,biotech_cleanroom,The Biotech Cleanroom,"A gene-therapy startup keeps its master cell line behind an airlock with intrusion detection that thinks for itself. Beat the network, gown up, and extract the vial without tripping the contamination protocol that locks every door.",Electronic Hard | Physical Medium | Confrontation None | Social Low,$1.4M – $3.4M,"A sterile biotech cleanroom behind a glass airlock, gowning benches and stainless hoods in clinical hatch. A single sample vial glows in a rack under cold light. An intrusion-panel blinks by the door. Antiseptic and tense — the prize fits in a fist.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A sterile biotech cleanroom behind a glass airlock, gowning benches and stainless hoods in clinical hatch. A single sample vial glows in a rack under cold light. An intrusion-panel blinks by the door. Antiseptic and tense — the prize fits in a fist.",loc32_biotech_cleanroom,FALSE
33,yacht_charter,The Yacht Charter,"A hedge-fund manager's superyacht sits at anchor for a weekend party, a wall safe of bearer bonds below deck. The deckhands are temps and the host is drunk, but the safe is serious and the only way off is the water. Board as guests, crack it, and swim.",Electronic Medium | Physical Hard | Confrontation Low | Social Medium,$1.4M – $3.4M,"A superyacht at anchor at night, sleek decks and rigging in crisp cross-hatch against a hatched sea. A lower-deck porthole glows on an open wall safe of bonds. Party-light haze above, dark water below. Lavish and isolated — the only exit is the sea.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A superyacht at anchor at night, sleek decks and rigging in crisp cross-hatch against a hatched sea. A lower-deck porthole glows on an open wall safe of bonds. Party-light haze above, dark water below. Lavish and isolated — the only exit is the sea.",loc33_yacht_charter,FALSE
34,bank_night_drop,The Bank Night Drop,"A regional bank's after-hours deposit room fills up over a holiday weekend, and the branch runs a skeleton crew. The vault timer is the easy part; the armed guard who never sits down is the hard one. Take him quiet or take the whole night to talk him still.",Electronic Medium | Physical Medium | Confrontation Hard | Social Low,$1.2M – $3.3M,"A bank's after-hours deposit room, a steel night-drop chute and stacked deposit bags in heavy hatching. A round vault door dominates one wall under a single hard light. An empty guard chair. Locked-down and waiting — the timer is the easy part.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A bank's after-hours deposit room, a steel night-drop chute and stacked deposit bags in heavy hatching. A round vault door dominates one wall under a single hard light. An empty guard chair. Locked-down and waiting — the timer is the easy part.",loc34_bank_night_drop,FALSE
35,gold_refinery,The Gold Refinery,"A small precious-metals refinery pours bars overnight and stores the day's run in a strong room with one heavy door. The molten floor is no place to fight, and the door is purpose-built. This is a safecracker's whole evening and a backbreaking carry.",Electronic Medium | Physical Hard | Confrontation Medium | Social None,$1.4M – $3.6M,"A small metals refinery floor, crucibles and a glowing pour-line in stark cross-hatch. A heavy strong-room door anchors one wall, gold bars stacked just inside under a harsh lamp. Molten glow and industrial gloom. Hot, heavy, and brutally locked.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A small metals refinery floor, crucibles and a glowing pour-line in stark cross-hatch. A heavy strong-room door anchors one wall, gold bars stacked just inside under a harsh lamp. Molten glow and industrial gloom. Hot, heavy, and brutally locked.",loc35_gold_refinery,FALSE
36,tech_keynote,The Tech Keynote,"A trillion-dollar company unveils its next chip on stage, and the working silicon is the only one of its kind on Earth. The convention floor is a sea of badges and handlers. Beat the prototype's locator beacon, smile at the right PR rep, and pocket the future.",Electronic Hard | Physical Low | Confrontation None | Social Medium,$1.4M – $3.4M,"A vast product-launch stage, an empty podium and giant blank screen in crisp hatching. A single prototype device glows on a lit plinth, the obvious centerpiece. Folding-chair rows and badge-lanyard clutter. Hype, lights, and one irreplaceable object.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A vast product-launch stage, an empty podium and giant blank screen in crisp hatching. A single prototype device glows on a lit plinth, the obvious centerpiece. Folding-chair rows and badge-lanyard clutter. Hype, lights, and one irreplaceable object.",loc36_tech_keynote,FALSE
37,cathedral_reliquary,The Cathedral Reliquary,"A historic cathedral guards a jeweled reliquary that only leaves its case for high mass. The clergy are watchful and the faithful are everywhere, but the lock is centuries old. The hard part is the crowd of believers who'd lay down their lives for it.",Electronic Low | Physical Medium | Confrontation Hard | Social Medium,$1.2M – $3.3M,"A soaring gothic cathedral nave, ribbed vaults and stained glass in fine cross-hatch. Before the altar a jeweled reliquary glows in a glass case under candlelight, the focal point. Pews and pillar shadows. Sacred, watched, and fiercely loved.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A soaring gothic cathedral nave, ribbed vaults and stained glass in fine cross-hatch. Before the altar a jeweled reliquary glows in a glass case under candlelight, the focal point. Pews and pillar shadows. Sacred, watched, and fiercely loved.",loc37_cathedral_reliquary,FALSE
38,vineyard_estate,The Vineyard Estate,"A wine baron's hilltop villa keeps a rare-bottle collection and a wall safe of cash behind a fence and a pack of dogs. The staff sleep in the guest house, but the grounds bite back. Over the wall, past the dogs, into the cellar — and don't break a thing on the way out.",Electronic Low | Physical Hard | Confrontation Medium | Social Low,$1.4M – $3.4M,"A hilltop villa at night, vine rows and a walled courtyard in heavy hatching. A cellar door glows on racks of bottles and a wall safe; floodlights rake the slope. A kennel silhouette in shadow. Idyllic and guarded — beauty with teeth.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A hilltop villa at night, vine rows and a walled courtyard in heavy hatching. A cellar door glows on racks of bottles and a wall safe; floodlights rake the slope. A kennel silhouette in shadow. Idyllic and guarded — beauty with teeth.",loc38_vineyard_estate,FALSE
